vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,base_msrp,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract,:@computed_region_x4ys_rtnd,:@computed_region_fny7_vc3j,:@computed_region_8ddd_yn5v
7SAYGAEE4P,King,Kent,WA,98031.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,47.0,260037977,"{'type': 'Point', 'coordinates': [-122.17743, 47.41185]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029403.0,3009.0,9.0,46.0
7SAYGDEE2N,King,Sammamish,WA,98074.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,192643286,"{'type': 'Point', 'coordinates': [-122.02054, 47.60326]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032217.0,3009.0,8.0,47.0
7SAYGDEE2P,King,Bellevue,WA,98007.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48.0,260772095,"{'type': 'Point', 'coordinates': [-122.12056, 47.61334]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023300.0,3009.0,9.0,49.0
7SAYGAEE6N,King,Kent,WA,98031.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,33.0,219486151,"{'type': 'Point', 'coordinates': [-122.17743, 47.41185]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029702.0,3009.0,9.0,46.0
2C4RC1S78N,Thurston,Olympia,WA,98512.0,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,35.0,272729166,"{'type': 'Point', 'coordinates': [-122.9131, 47.01359]}",PUGET SOUND ENERGY INC,53067011822.0,2742.0,10.0,28.0
1GYKPWRL4S,King,Burien,WA,98168.0,2025,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,33.0,273358172,"{'type': 'Point', 'coordinates': [-122.3317, 47.50314]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027400.0,3009.0,7.0,37.0
7SAYGDEE9N,King,Kirkland,WA,98033.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48.0,187524851,"{'type': 'Point', 'coordinates': [-122.2066, 47.67887]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.0,3009.0,1.0,47.0
WVWKR7AU0H,King,Kirkland,WA,98034.0,2017,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,45.0,156707806,"{'type': 'Point', 'coordinates': [-122.22901, 47.72201]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903.0,3009.0,1.0,1.0
7SAYGDEE1P,King,Sammamish,WA,98074.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,241610792,"{'type': 'Point', 'coordinates': [-122.02054, 47.60326]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032216.0,3009.0,8.0,47.0
5YJYGDEE7L,King,Shoreline,WA,98133.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,32.0,278810409,"{'type': 'Point', 'coordinates': [-122.35029, 47.71871]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020700.0,3009.0,7.0,21.0
