vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,base_msrp,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract,:@computed_region_x4ys_rtnd,:@computed_region_fny7_vc3j,:@computed_region_8ddd_yn5v
WBAJA9C56K,King,Seattle,WA,98177,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,53400,36,257002581,"{'type': 'Point', 'coordinates': [-122.36498, 47.72238]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600,3009,7,21
7SAYGDEF0N,King,Renton,WA,98056,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,11,193934919,"{'type': 'Point', 'coordinates': [-122.1805, 47.50006]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025500,3009,9,17
1N4AZ1CP1J,King,Kirkland,WA,98034,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,45,112694816,"{'type': 'Point', 'coordinates': [-122.22901, 47.72201]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904,3009,1,1
1N4AZ0CP2D,King,Renton,WA,98056,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,11,126728143,"{'type': 'Point', 'coordinates': [-122.1805, 47.50006]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025401,3009,9,17
LYVBR0DL3J,King,Kirkland,WA,98033,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,48,348820825,"{'type': 'Point', 'coordinates': [-122.2066, 47.67887]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022502,3009,1,47
3GPKHWRM5R,Clark,Vancouver,WA,98683,2024,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,17,269459102,"{'type': 'Point', 'coordinates': [-122.49212, 45.60365]}",BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041309,2977,3,25
1V2WNPE89P,King,Seattle,WA,98146,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,34,256259748,"{'type': 'Point', 'coordinates': [-122.36178, 47.49408]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012100,3009,7,37
5YJ3E1EB7N,Clark,Vancouver,WA,98662,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,17,196705351,"{'type': 'Point', 'coordinates': [-122.57722, 45.64251]}",BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040703,2977,3,8
3GPKHZRJ1R,King,Kirkland,WA,98033,2024,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,278270149,"{'type': 'Point', 'coordinates': [-122.2066, 47.67887]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022502,3009,1,47
JTMABABA5R,King,Kirkland,WA,98033,2024,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,276897491,"{'type': 'Point', 'coordinates': [-122.2066, 47.67887]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501,3009,1,47
